competencia_id,ciclo_siglas,orden_global,etapa,bloque,modulo_codigo,modulo_nombre,titulo,descripcion,nivel_objetivo,obligatoria_roadmap_base,basico_antes_de_empezar,horas_estimadas,prerrequisitos_ids,criterios_superacion,evidencia_minima,umbral_superacion,aplicable_a,fuente_titulo_url,fuente_curriculo_url,tipo_criterio,ultima_revision
DAW-UI-001,DAW,33,2_aplicacion,Diseño de interfaces,0615,Diseño de interfaces WEB,Diseñar experiencias usables y coherentes,"Define arquitectura de información, componentes, estados y navegación centrados en tareas.",2,sí,no,22,DAW-LM-002,"La jerarquía permite completar la tarea principal || Contempla estados vacío, carga, error y éxito || Usa patrones y componentes consistentes",Prototipo y pantalla implementada con estados,Prueba con al menos 3 tareas sin bloqueo crítico,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-UI-002,DAW,34,2_aplicacion,Diseño de interfaces,0615,Diseño de interfaces WEB,Aplicar accesibilidad web verificable,"Usa HTML semántico, teclado, foco, etiquetas, contraste y mensajes comprensibles.",2,sí,no,18,DAW-LM-001|DAW-UI-001,Toda interacción esencial funciona con teclado || Formularios e imágenes tienen alternativas adecuadas || Contraste y foco cumplen una revisión automatizada y manual,Informe de auditoría y correcciones,Sin barreras críticas en flujo principal,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-UI-003,DAW,35,2_aplicacion,Diseño de interfaces,0615,Diseño de interfaces WEB,"Optimizar rendimiento, SEO técnico y compatibilidad","Reduce peso y bloqueos, usa metadatos, rutas rastreables y pruebas en navegadores.",3,sí,no,18,DAW-CLI-002|DAW-UI-002,Optimiza imágenes y carga de recursos || Incluye metadatos y estructura indexable cuando procede || Comprueba rendimiento y compatibilidad del flujo principal,Informe antes/después con métricas y cambios,Mejora medible y ausencia de errores críticos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BAS-001,DAM,1,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,"Gestionar archivos, carpetas y copias de seguridad","Organiza proyectos, descargas y documentos sin perder versiones ni credenciales.",0,sí,sí,3,,Crea una estructura de carpetas coherente para tres proyectos || Comprime y descomprime archivos y localiza extensiones || Recupera una copia anterior o explica cómo restaurarla,Captura o vídeo corto de la estructura y procedimiento de copia,3 de 3 criterios sin ayuda crítica,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BAS-002,DAM,2,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,Usar terminal y comandos esenciales,"Navega, crea, mueve y elimina archivos desde terminal y entiende rutas absolutas y relativas.",0,sí,sí,5,DAM-BAS-001,"Se desplaza entre directorios sin interfaz gráfica || Crea, copia, mueve y elimina archivos de prueba || Explica ruta absoluta, relativa y permisos básicos",Registro de terminal con 10 comandos comentados,80 % de comandos correctos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BAS-003,DAM,3,0_antes_de_empezar,Pensamiento lógico,PRE,Preparación previa,Resolver problemas mediante algoritmos simples,"Descompone un problema en entradas, proceso, decisiones, repeticiones y salida.",0,sí,sí,8,,Redacta pseudocódigo de tres problemas cotidianos || Identifica condiciones y bucles necesarios || Prueba casos normales y casos límite,Documento con tres algoritmos y tabla de pruebas,Al menos 2 algoritmos correctos y probados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BAS-004,DAM,4,0_antes_de_empezar,Fundamentos de Internet,PRE,Preparación previa,Comprender cómo funciona una aplicación conectada,"Distingue cliente, servidor, red, DNS, HTTP, API, base de datos y despliegue.",0,sí,sí,5,DAM-BAS-003,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,80 % de conceptos correctamente relacionados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BAS-005,DAM,5,0_antes_de_empezar,Método de estudio técnico,PRE,Preparación previa,Documentar errores y aprender mediante práctica,"Registra hipótesis, pruebas, errores, soluciones y fuentes consultadas.",0,sí,sí,3,,Crea una plantilla de diario técnico || Documenta un error con pasos para reproducirlo || Distingue una fuente primaria de una explicación secundaria,Entrada de diario técnico con error resuelto,"Incluye problema, causa, solución y aprendizaje",formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-SI-001,DAM,6,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,Instalar y configurar un sistema de trabajo,"Configura usuarios, almacenamiento, software, actualizaciones y un entorno reproducible.",1,sí,no,14,DAM-BAS-001|DAM-BAS-002,"Instala o configura una máquina virtual o entorno equivalente || Crea usuarios y aplica actualizaciones || Documenta requisitos, red y almacenamiento",Guía de instalación reproducible con capturas,Se reproduce sin pasos omitidos críticos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-SI-002,DAM,7,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,Aplicar red y seguridad básica,"Comprende IP, puertos, servicios, permisos, usuarios, copias y secretos.",1,sí,no,12,DAM-SI-001|DAM-BAS-004,"Configura una red local o servicio accesible de forma controlada || Diferencia autenticación, autorización y cifrado || Evita publicar secretos y define una estrategia de copia",Checklist de seguridad aplicado a un entorno de prueba,Sin exposición de credenciales ni permisos inseguros graves,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BD-001,DAM,8,1_fundamentos,Bases de datos,0484,Bases de Datos,Modelar datos relacionales,"Transforma requisitos en entidades, atributos, relaciones, claves y restricciones.",1,sí,no,18,DAM-BAS-003,"Identifica entidades y relaciones de un caso || Normaliza hasta un diseño razonable || Define claves primarias, foráneas y restricciones",Diagrama entidad-relación y modelo relacional,Modelo sin relaciones ambiguas ni dependencias evidentes,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BD-002,DAM,9,1_fundamentos,Bases de datos,0484,Bases de Datos,Crear y consultar una base de datos con SQL,"Implementa tablas y resuelve consultas de selección, agregación y combinación.",1,sí,no,24,DAM-BD-001,"Crea tablas con tipos y restricciones correctas || Realiza CRUD y consultas con JOIN || Usa agregaciones, filtros y ordenación sobre datos coherentes",Script SQL ejecutable con datos de prueba y 12 consultas,Al menos 10 consultas correctas,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-BD-003,DAM,10,1_fundamentos,Bases de datos,0484,Bases de Datos,"Mantener integridad, transacciones y acceso seguro","Gestiona transacciones, usuarios, permisos, copias y errores de persistencia.",2,sí,no,14,DAM-BD-002|DAM-SI-002,Demuestra una transacción con confirmación y reversión || Crea un usuario con privilegios mínimos || Realiza y verifica una copia y restauración de prueba,Script y registro de una restauración controlada,Los datos se restauran y los permisos son mínimos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRO-001,DAM,11,1_fundamentos,Programación,0485,Programación,"Programar con variables, decisiones y bucles","Construye programas de consola con entrada, validación, control de flujo y salida.",1,sí,no,28,DAM-BAS-003,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,80 % de casos de prueba superados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRO-002,DAM,12,1_fundamentos,Programación,0485,Programación,Diseñar funciones y trabajar con colecciones,"Divide el problema en funciones, maneja arrays o colecciones y evita duplicación.",1,sí,no,24,DAM-PRO-001,"Separa responsabilidades en funciones pequeñas || Recorre y transforma colecciones correctamente || Gestiona búsquedas, ordenación o agregación básica",Aplicación de consola modular con colección de objetos o datos,Código sin duplicación relevante y pruebas mínimas,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRO-003,DAM,13,1_fundamentos,Programación,0485,Programación,Aplicar programación orientada a objetos,"Modela clases, encapsula estado, usa composición, herencia solo cuando aporta valor e interfaces.",2,sí,no,32,DAM-PRO-002,Define clases con responsabilidades claras || Protege invariantes mediante encapsulación || Usa composición o interfaces y justifica el diseño,Proyecto orientado a objetos con diagrama y README,Cumple requisitos funcionales y no expone estado crítico,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRO-004,DAM,14,1_fundamentos,Programación,0485,Programación,"Gestionar errores, ficheros y pruebas","Controla excepciones, persiste información simple y escribe pruebas automatizadas básicas.",2,sí,no,24,DAM-PRO-003,Maneja errores sin ocultarlos ni bloquear la aplicación || Lee y escribe datos de forma segura || Incluye pruebas para lógica importante y casos límite,Repositorio con pruebas y tratamiento de errores,Pruebas principales en verde y errores documentados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-LM-001,DAM,15,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,Estructurar información con lenguajes de marcas,"Crea documentos HTML, XML o JSON válidos, bien estructurados y transformables.",1,sí,no,16,DAM-BAS-004,"Usa estructura semántica y validable || Diferencia HTML, XML y JSON y sus casos de uso || Interpreta o genera datos estructurados",Conjunto de documentos validados y ejemplo de consumo,Sin errores estructurales graves,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-LM-002,DAM,16,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,Presentar información de forma responsive,"Aplica CSS, layout, tipografía y adaptación a móvil con una jerarquía clara.",1,sí,no,20,DAM-LM-001,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,Sin desbordes y con jerarquía visual comprensible,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-ED-001,DAM,17,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,Usar Git y un flujo de trabajo colaborativo,"Versiona código con commits útiles, ramas, pull requests y resolución básica de conflictos.",1,sí,no,16,DAM-BAS-001,Crea repositorio y commits atómicos con mensajes claros || Trabaja en una rama y abre un pull request || Resuelve un conflicto sencillo sin perder trabajo,"Repositorio con historial, rama y pull request",Historial comprensible y PR revisable,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-ED-002,DAM,18,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,"Depurar, automatizar y mantener calidad","Configura IDE, formateo, análisis estático, pruebas y una integración continua básica.",2,sí,no,18,DAM-ED-001|DAM-PRO-004,Usa puntos de ruptura e inspección de variables || Configura formato o lint reproducible || Ejecuta pruebas automáticamente en cada cambio relevante,Repositorio con configuración y workflow de pruebas,Pipeline correcto y error reproducible cuando falla una prueba,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-DIG-001,DAM,19,2_aplicacion,Digitalización,1665,Digitalización aplicada a los sectores productivos,"Analizar digitalización, datos e IA de forma responsable","Identifica procesos digitalizables, riesgos, métricas y límites de automatización o IA.",1,sí,no,10,DAM-BAS-004,"Modela un proceso antes y después de digitalizarlo || Identifica datos, riesgos y controles || Justifica cuándo una automatización o IA aporta valor",Mapa de proceso y ficha de riesgos,"Problema, datos, impacto y controles claramente definidos",formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-SUS-001,DAM,20,2_aplicacion,Sostenibilidad,1708,Sostenibilidad aplicada al sistema productivo,Aplicar sostenibilidad al desarrollo y operación,"Evalúa consumo, ciclo de vida, accesibilidad, mantenimiento y reducción de desperdicio digital.",1,sí,no,8,DAM-SI-001,Identifica impactos ambientales y sociales de una solución || Propone medidas medibles de mejora || Incluye mantenimiento y fin de vida de datos o infraestructura,Checklist de sostenibilidad aplicado a un proyecto,Incluye al menos 3 mejoras verificables,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-ENG-001,DAM,21,2_aplicacion,Inglés profesional,0179,Inglés profesional (GS),Leer y comunicar información técnica en inglés,"Comprende documentación, incidencias y mensajes técnicos y redacta textos breves profesionales.",1,sí,no,16,DAM-BAS-005,Resume documentación técnica en español || Redacta un issue o README breve en inglés || Explica oralmente una incidencia o decisión técnica,README o issue bilingüe,Mensaje comprensible sin errores que impidan la acción,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-EMP-001,DAM,22,3_empleabilidad,Empleabilidad,1709|1710,Itinerario personal para la empleabilidad I y II,Preparar perfil profesional y candidatura,"Presenta proyectos, adapta CV, analiza ofertas y trabaja con comunicación profesional.",2,sí,no,16,DAM-ED-001|DAM-BAS-005,CV adaptado a un puesto concreto || Perfil GitHub o portfolio con dos evidencias explicadas || Matriz de requisitos y brechas de tres ofertas,"CV, perfil y matriz de brechas",Documentos actualizados y adaptados a un objetivo real,empleo|prácticas|beca|formación_en_empresa,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRJ-001,DAM,23,4_proyecto,Proyecto intermodular,PROY,Proyecto intermodular,Planificar y entregar un proyecto integrador,"Define problema, alcance, requisitos, arquitectura, datos, pruebas, despliegue y documentación.",3,sí,no,50,DAM-ED-002|DAM-BD-002|DAM-PRO-004,"El alcance y los criterios de aceptación están definidos || La solución funciona y está versionada || Incluye pruebas, documentación y una demo reproducible","Repositorio, demo, README, pruebas y presentación",Cumple criterios de aceptación y se reproduce desde cero,proyecto|hackathon|portfolio|formación_en_empresa,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-PRJ-002,DAM,24,4_proyecto,Proyecto intermodular,PROY,Proyecto intermodular,Presentar y defender una solución,"Expone problema, usuario, decisiones, demo, resultados, límites y siguientes pasos.",3,sí,no,8,DAM-PRJ-001|DAM-EMP-001,Pitch de 3 a 5 minutos con estructura || Demo sin depender de pasos improvisados || Responde preguntas técnicas y reconoce límites,Vídeo de pitch o presentación en directo,"Mensaje claro, demo funcional y respuestas coherentes",hackathon|evento|proyecto|entrevista,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-AD-001,DAM,25,2_aplicacion,Acceso a datos,0486,Acceso a datos,Conectar aplicaciones a bases de datos,"Implementa conexiones, consultas parametrizadas, mapeo y gestión de recursos.",2,sí,no,26,DAM-BD-003|DAM-PRO-003,Usa consultas parametrizadas o mecanismo equivalente || Libera recursos y gestiona errores de acceso || Mapea datos sin mezclar responsabilidades,Aplicación CRUD conectada a base de datos,CRUD completo sin inyección ni fugas evidentes,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-AD-002,DAM,26,2_aplicacion,Acceso a datos,0486,Acceso a datos,Gestionar persistencia avanzada y migraciones,"Trabaja con ORM, relaciones, transacciones, repositorios y evolución del esquema.",3,sí,no,26,DAM-AD-001|DAM-ED-002,Define relaciones y consultas sin cargas innecesarias || Aplica migraciones reproducibles || Protege operaciones críticas con transacciones,"Proyecto con migraciones, repositorios y pruebas",Migración y rollback probados sobre datos de prueba,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-UI-001,DAM,27,2_aplicacion,Desarrollo de interfaces,0488,Desarrollo de interfaces,Construir interfaces de escritorio o multiplataforma,"Diseña ventanas, componentes, navegación, formularios y estados con separación de responsabilidades.",2,sí,no,30,DAM-PRO-003|DAM-ED-002,"La interfaz mantiene estado coherente || Valida datos y comunica errores || Separa vista, lógica y datos mediante un patrón reconocible",Aplicación de escritorio o multiplataforma con varias vistas,Flujo principal completo y sin bloqueos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-UI-002,DAM,28,2_aplicacion,Desarrollo de interfaces,0488,Desarrollo de interfaces,"Aplicar usabilidad, accesibilidad y empaquetado","Evalúa navegación, atajos, mensajes, adaptación y entrega instalable.",3,sí,no,18,DAM-UI-001,La aplicación puede usarse con navegación coherente y atajos básicos || Los mensajes permiten corregir errores || Genera un paquete o distribución reproducible,Prueba de usabilidad y artefacto instalable,Tres tareas completadas sin error crítico,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-MOB-001,DAM,29,2_aplicacion,Programación móvil,0489,Programación multimedia y dispositivos móviles,Crear una aplicación móvil con navegación y estado,"Construye pantallas, navegación, estado, recursos y ciclo de vida en una plataforma móvil.",3,sí,no,34,DAM-PRO-003|DAM-UI-001,Implementa varias pantallas y navegación || Gestiona estado y ciclo de vida sin pérdida inesperada || Adapta recursos a tamaños y orientaciones,APK o build de prueba con vídeo de uso,Flujos principales funcionan en emulador y dispositivo de prueba,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAM-MOB-002,DAM,30,2_aplicacion,Programación móvil,0489,Programación multimedia y dispositivos móviles,"Integrar datos, red y capacidades del dispositivo","Consume APIs, persiste datos y usa permisos o sensores con control de privacidad.",3,sí,no,28,DAM-MOB-001|DAM-AD-001|DAM-SI-002,"Gestiona conectividad, carga y error || Solicita únicamente permisos necesarios || Mantiene datos locales y sincronización coherente",Aplicación móvil conectada con modo degradado,Sin permisos excesivos ni pérdida de datos en casos probados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportales%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2291,https://www.juntadeandalucia.es/boja/2011/142/20,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
